DNE,positive_DNE,surface_area,positive_surface_area,Diet,Genus
0.127261793804583,0.111551611836925,0.0019820692785154,0.0016767364534894,NA,Teilhardina
0.129335179275942,0.112563905745728,0.0019747772873363,0.0016817879465713,NA,Teilhardina
0.116758736357757,0.103174406732764,0.0018309417782615,0.0015560852589635,NA,Teilhardina
0.11610295737459,0.101066643281729,0.0019267247676815,0.0016417621816652,NA,Teilhardina
0.134318850350295,0.118678059277558,0.001970927165296,0.0016716696841379,NA,Teilhardina
0.116232871179308,0.104005152112273,0.0019197002155537,0.0016455712616526,NA,Teilhardina
0.117036014688455,0.102552913777409,0.0018805792410621,0.0015949061004707,NA,Teilhardina
0.148029985221036,0.125893973644756,0.0021086765937935,0.0017798888496227,NA,Purgatorius
0.163025991104238,0.143446686626686,0.0020686835254007,0.0017757799787738,NA,Purgatorius
0.148896385755011,0.125638495879491,0.0021297189161088,0.0017527156948407,NA,Donrusselia
0.181724183782723,0.154704981402432,0.0022343445413701,0.0018669498501309,NA,Plesiolestes
0.121628826465445,0.108149523509543,0.0017968092188703,0.0015334216451656,Omnivore,Cheirogaleidae
0.103193015073284,0.093076370729453,0.0017802131270509,0.0015286054071517,Frugivore,Perodictius
0.0856962255431516,0.0772115633066971,0.0017455703530517,0.0015729243632962,Frugivore,Perodictius
